id,parent,tagname,depth,childcount,sourceline,sourcepct,pospct,xpct,x,y,wid,hght,fgcolor,bgcolor,textxws,textlen,htmllen,visible,xpath,textclip,goodness
0,None,html,18,1,1,0.142857142857,0.0032154340836,0.0,0,0,1920,4412.59375,"rgb(0,0,0)","rgba(0,0,0,0)",5290,6355,73065,1,/html,HomepageSign in / Si...ET UPDATES,0
56,0,body,17,1,1,0.142857142857,0.183279742765,0.0,0,0,1920,4412.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5290,6355,64498,1,/html/body,HomepageSign in / Si...ET UPDATES,0
58,56,div,16,1,1,0.142857142857,0.189710610932,0.0,0,0,1920,4412.59375,"rgba(0,0,0,0.8)","rgb(255,255,255)",5290,6355,42019,1,/html/body/div[1],HomepageSign in / Si...ET UPDATES,0
59,58,div,0,1,1,0.142857142857,0.192926045016,0.356770833333,685,0,640,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,81,1,/html/body/div[1]/div[1],,0
60,58,div,15,1,1,0.142857142857,0.1961414791,0.0,0,0,1920,4412.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5290,6355,41876,1,/html/body/div[1]/div[2],HomepageSign in / Si...ET UPDATES,0
61,60,div,14,1,1,0.142857142857,0.199356913183,0.0,0,0,1920,4412.59375,"rgba(0,0,0,0.8)","rgb(255,255,255)",5290,6355,41765,1,/html/body/div[1]/div[2]/div,HomepageSign in / Si...ET UPDATES,0
62,61,canvas,0,1,1,0.142857142857,0.202572347267,0.0,0,0,1920,1080,"rgba(0,0,0,0.8)","rgb(255,255,255)",0,0,68,1,/html/body/div[1]/div[2]/div/canvas,,0
63,61,div,0,1,1,0.142857142857,0.20578778135,0.307291666667,590,0,740,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,105,1,/html/body/div[1]/div[2]/div/div[1],,0
64,61,div,6,1,1,0.142857142857,0.209003215434,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",21,25,1761,1,/html/body/div[1]/div[2]/div/div[2],HomepageSign in / Sign up,0
65,64,div,5,1,1,0.142857142857,0.212218649518,0.229166666667,440,0,1040,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",21,25,1712,1,/html/body/div[1]/div[2]/div/div[2]/div,HomepageSign in / Sign up,0
66,65,div,4,1,1,0.142857142857,0.215434083601,0.239583333333,460,0,53,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,973,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1],Homepage,0
67,66,a,3,1,1,0.142857142857,0.218649517685,0.2375,456,0,57,59,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,8,883,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a,Homepage,0
68,67,span,2,1,1,0.142857142857,0.221864951768,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,758,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1],,0
69,68,svg,1,1,1,0.142857142857,0.225080385852,0.236458333333,454,10,45,45,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,685,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg,,0
70,69,path,0,1,1,0.142857142857,0.228295819936,0.250868225098,481.666992188,19.9910831451,10.3330078125,24.9605884552,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,151,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[1],,0
71,69,path,0,1,1,0.142857142857,0.231511254019,0.245485941569,471.333007812,19.9727783203,20.6177062988,20.6572227478,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,128,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[2],,0
72,69,path,0,1,1,0.142857142857,0.234726688103,0.240422884623,461.611938477,20.183216095,20.0540771484,20.4447822571,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,134,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[3],,0
73,69,path,0,1,1,0.142857142857,0.237942122186,0.240104166667,461,20.098739624,10.3330078125,24.9234390259,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,173,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[1]/svg/path[4],,0
74,67,span,0,1,1,0.142857142857,0.24115755627,0.259895833333,499,10,1,1,"rgba(255,255,255,0)","rgba(0,0,0,0)",8,8,48,1,/html/body/div[1]/div[2]/div/div[2]/div/div[1]/a/span[2],Homepage,0
75,65,div,2,1,1,0.142857142857,0.244372990354,0.703645833333,1351,0,109,65,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,628,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2],Sign in / Sign up,0
76,75,div,1,1,1,0.142857142857,0.247588424437,0.708854166667,1361,10,99,44,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",13,17,492,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div,Sign in / Sign up,0
77,76,a,0,1,1,0.142857142857,0.250803858521,0.708854166667,1361,17,99,32,"rgb(0,171,107)","rgba(0,0,0,0)",13,17,463,1,/html/body/div[1]/div[2]/div/div[2]/div/div[2]/div/a,Sign in / Sign up,0
78,61,div,0,1,1,0.142857142857,0.254019292605,0.0,0,0,1920,65,"rgba(0,0,0,0.439216)","rgb(255,255,255)",0,0,85,1,/html/body/div[1]/div[2]/div/div[3],,0
79,61,main,13,1,1,0.142857142857,0.257234726688,0.0,0,65,1920,4307.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5194,6236,21635,1,/html/body/div[1]/div[2]/div/main,Antonio WhiteFollow ...uper-Freak,0
80,79,article,12,1,1,0.142857142857,0.260450160772,0.0,0,65,1920,4307.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5194,6236,21610,1,/html/body/div[1]/div[2]/div/main/article,Antonio WhiteFollow ...uper-Freak,0
81,80,header,7,1,1,0.142857142857,0.263665594855,0.307291666667,590,65,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",46,52,2748,1,/html/body/div[1]/div[2]/div/main/article/header,Antonio WhiteFollow ...3 days ago,0
82,81,div,6,1,1,0.142857142857,0.266881028939,0.307291666667,590,65,740,166,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",46,52,2699,1,/html/body/div[1]/div[2]/div/main/article/header/div,Antonio WhiteFollow ...3 days ago,0
83,82,div,5,1,1,0.142857142857,0.270096463023,0.307291666667,590,100,740,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",46,52,2643,1,/html/body/div[1]/div[2]/div/main/article/header/div/div,Antonio WhiteFollow ...3 days ago,0
84,83,div,4,1,1,0.142857142857,0.273311897106,0.317708333333,610,100,700,121,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",46,52,2589,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div,Antonio WhiteFollow ...3 days ago,0
85,84,div,2,1,1,0.142857142857,0.27652733119,0.317708333333,610,100,700,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,476,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1],,0
86,85,a,1,1,1,0.142857142857,0.279742765273,0.317708333333,610,100,700,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,449,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1]/a,,0
87,86,img,0,1,1,0.142857142857,0.282958199357,0.317708333333,610,100,60,60,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,166,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[1]/a/img,,0
88,84,div,3,1,1,0.142857142857,0.286173633441,0.317708333333,610,160,700,61,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",46,52,2024,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2],Antonio WhiteFollow ...3 days ago,0
89,88,a,0,1,1,0.142857142857,0.289389067524,0.325520833333,625,160,94.859375,20,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",12,13,320,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/a,Antonio White,0
90,88,span,2,1,1,0.142857142857,0.292604501608,0.374926757813,719.859375,160,67.890625,20,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",6,6,1303,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span,Follow,0
91,90,button,1,1,1,0.142857142857,0.295819935691,0.0,0,0,0,0,"rgb(255,255,255)","rgb(204,84,84)",14,14,560,0,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1],BlockedUnblock,0
92,91,span,0,1,1,0.142857142857,0.299035369775,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,61,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1]/span[1],Blocked,0
93,91,span,0,1,1,0.142857142857,0.302250803859,0.0,0,0,0,0,"rgb(255,255,255)","rgba(0,0,0,0)",7,7,59,0,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[1]/span[2],Unblock,0
94,90,button,1,1,1,0.142857142857,0.305466237942,0.380135091146,729.859375,162,57.890625,19,"rgb(0,171,107)","rgba(0,0,0,0)",6,6,651,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[2],Follow,0
95,94,span,0,1,1,0.142857142857,0.308681672026,0.385864257812,740.859375,163,35.890625,16,"rgb(0,171,107)","rgba(0,0,0,0)",6,6,75,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[2]/span[1],Follow,0
96,94,span,0,1,1,0.142857142857,0.311897106109,0.0,0,0,0,0,"rgb(0,171,107)","rgba(0,0,0,0)",9,9,62,0,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/span/button[2]/span[2],Following,0
97,88,div,0,1,1,0.142857142857,0.315112540193,0.325520833333,625,183,685,18,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",20,21,108,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/div[1],Marketing Super-Freak,0
98,88,div,1,1,1,0.142857142857,0.318327974277,0.325520833333,625,203,685,18,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,10,233,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/div[2],3 days ago,0
99,98,time,0,1,1,0.142857142857,0.32154340836,0.325520833333,625,203,61,18,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",8,10,59,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/div[2]/time,3 days ago,0
100,98,span,0,1,1,0.142857142857,0.324758842444,0.357291666667,686,204,13,16,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,54,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/div[2]/span[1],,0
101,98,span,0,1,1,0.142857142857,0.327974276527,0.3640625,699,203,59,18,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",0,0,52,1,/html/body/div[1]/div[2]/div/main/article/header/div/div/div/div[2]/div[2]/span[2],,0
102,80,div,6,1,1,0.142857142857,0.331189710611,0.0,0,231,1920,3898.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5048,6073,8400,1,/html/body/div[1]/div[2]/div/main/article/div,Used under license b...ax-returns,0
103,102,section,5,1,1,0.142857142857,0.334405144695,0.0,0,251,1920,3878.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5048,6073,8212,1,/html/body/div[1]/div[2]/div/main/article/div/section,Used under license b...ax-returns,0
104,103,div,1,1,1,0.142857142857,0.337620578778,0.0,0,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,63,0,/html/body/div[1]/div[2]/div/main/article/div/section/div[1],,0
105,104,hr,0,1,1,0.142857142857,0.340836012862,0.0,0,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,28,0,/html/body/div[1]/div[2]/div/main/article/div/section/div[1]/hr,,0
106,103,div,4,1,1,0.142857142857,0.344051446945,0.0,0,251,1920,3873.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5048,6073,8059,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2],Used under license b...ax-returns,0
107,106,div,3,1,1,0.142857142857,0.347266881029,0.307291666667,590,251,740,3873.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",5048,6073,8024,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div,Used under license b...ax-returns,1
108,107,figure,2,1,1,0.142857142857,0.350482315113,0.317708333333,610,251,700,496.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",28,33,590,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/figure,"Used under license by Adobe, Inc.",1
109,108,div,1,1,1,0.142857142857,0.353697749196,0.317708333333,610,251,700,467.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,427,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/figure/div,,1
110,109,div,0,1,1,0.142857142857,0.35691318328,0.317708333333,610,251,700,467.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,78,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/figure/div/div,,1
111,109,img,0,1,1,0.142857142857,0.360128617363,0.317708333333,610,251,700,467.59375,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,252,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/figure/div/img,,1
112,108,figcaption,0,1,1,0.142857142857,0.363344051447,0.317708333333,610,728.59375,700,19,"rgba(0,0,0,0.6)","rgba(0,0,0,0)",28,33,84,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/figure/figcaption,"Used under license by Adobe, Inc.",1
113,107,h1,1,1,1,0.142857142857,0.366559485531,0.31640625,607.5,786.59375,702.5,41,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",36,41,188,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/h1,Trump is Destroying ...rand Value,1
114,113,strong,0,1,1,0.142857142857,0.369774919614,0.31640625,607.5,782.59375,701.9375,49,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",36,41,104,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/h1/strong,Trump is Destroying ...rand Value,1
115,107,h2,1,1,1,0.142857142857,0.372990353698,0.316829427083,608.3125,832.59375,701.6875,96,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",121,143,268,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/h2,America’s Brand as a...nt Clause.,1
116,115,em,0,1,1,0.142857142857,0.376205787781,0.316829427083,608.3125,831.59375,700,97,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",121,143,185,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/h2/em,America’s Brand as a...nt Clause.,1
117,107,p,1,1,1,0.142857142857,0.379421221865,0.317708333333,610,950.59375,700,66,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",133,159,265,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[1],In addition to the h...the globe?,1
118,117,em,0,1,1,0.142857142857,0.382636655949,0.317708333333,610,953.59375,693.703125,59,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",133,159,200,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[1]/em,In addition to the h...the globe?,1
119,107,p,0,1,1,0.142857142857,0.385852090032,0.317708333333,610,1045.59375,700,330,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",611,731,795,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[2],Business people care...ver known.,1
120,107,p,0,1,1,0.142857142857,0.389067524116,0.317708333333,610,1404.59375,700,198,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",343,414,478,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[3],"Ultimately brand val...n, itself.",1
121,107,p,0,1,1,0.142857142857,0.392282958199,0.317708333333,610,1631.59375,700,99,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",173,213,277,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[4],If there is one bran... “People”.,1
122,107,p,0,1,1,0.142857142857,0.395498392283,0.317708333333,610,1759.59375,700,132,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",246,296,360,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[5],If we have only one ...re judged.,1
123,107,p,0,1,1,0.142857142857,0.398713826367,0.317708333333,610,1920.59375,700,66,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",89,110,174,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[6],Law and Order is our...residency.,1
124,107,p,0,1,1,0.142857142857,0.40192926045,0.317708333333,610,2015.59375,700,132,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",231,284,348,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[7],The fatal mistake Tr...rand too).,1
125,107,p,0,1,1,0.142857142857,0.405144694534,0.317708333333,610,2176.59375,700,231,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",403,490,554,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[8],Here’s the rub: Trum...defend it.,1
126,107,p,0,1,1,0.142857142857,0.408360128617,0.317708333333,610,2436.59375,700,132,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",244,293,357,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[9],The good news is tha...ditiously.,1
127,107,p,0,1,1,0.142857142857,0.411575562701,0.317708333333,610,2597.59375,700,264,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",452,552,616,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[10],Consider that Apple ...its Brand.,1
128,107,p,0,1,1,0.142857142857,0.414790996785,0.317708333333,610,2890.59375,700,198,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",365,438,502,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[11],Conversely a company...and favor.,1
129,107,p,0,1,1,0.142857142857,0.418006430868,0.317708333333,610,3117.59375,700,198,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",381,449,513,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[12],"As of today, Donald ...ed States.",1
130,107,p,0,1,1,0.142857142857,0.421221864952,0.317708333333,610,3344.59375,700,231,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",407,496,560,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[13],To get America’s Bra...ral Judge.,1
131,107,p,0,1,1,0.142857142857,0.424437299035,0.317708333333,610,3604.59375,700,198,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",324,388,452,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[14],Prosecuting Trump fo...r America.,1
132,107,p,0,1,1,0.142857142857,0.427652733119,0.317708333333,610,3831.59375,700,132,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",223,268,332,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[15],"If you agree, the ea...tion here:",1
133,107,p,1,1,1,0.142857142857,0.430868167203,0.317708333333,610,3992.59375,700,132,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",238,257,335,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[16],Donald Trump: Resign...ax-returns,1
134,133,br,0,1,1,0.142857142857,0.434083601286,0.0,0,0,0,0,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,4,1,/html/body/div[1]/div[2]/div/main/article/div/section/div[2]/div/p[16]/br,,1
135,80,footer,11,1,1,0.142857142857,0.43729903537,0.0,0,4129.59375,1920,243,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",100,109,10316,1,/html/body/div[1]/div[2]/div/main/article/footer,Trump TransitionEmol...uper-Freak,0
136,135,div,10,1,1,0.142857142857,0.440514469453,0.307291666667,590,4139.59375,740,104,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",62,66,7487,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1],Trump TransitionEmol...arketing 2,0
137,136,div,1,1,1,0.142857142857,0.443729903537,0.307291666667,590,4139.59375,740,1,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,59,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[1],,0
138,137,div,0,1,1,0.142857142857,0.446945337621,0.307291666667,590,4139.59375,740,1,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,36,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[1]/div,,0
139,136,div,4,1,1,0.142857142857,0.450160771704,0.307291666667,590,4140.59375,740,50,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",61,64,827,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2],Trump TransitionEmol... Marketing,0
140,139,div,3,1,1,0.142857142857,0.453376205788,0.307291666667,590,4140.59375,740,50,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",61,64,804,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div,Trump TransitionEmol... Marketing,0
141,140,div,2,1,1,0.142857142857,0.456591639871,0.317708333333,610,4140.59375,700,50,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",61,64,756,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div,Trump TransitionEmol... Marketing,0
142,141,div,1,1,1,0.142857142857,0.459807073955,0.317708333333,610,4140.59375,700,40,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",61,64,719,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div,Trump TransitionEmol... Marketing,0
143,142,a,0,1,1,0.142857142857,0.463022508039,0.317708333333,610,4140.59375,115.8125,32,"rgba(0,0,0,0.6)","rgba(0,0,0,0.0470588)",15,16,139,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div/a[1],Trump Transition,0
144,142,a,0,1,1,0.142857142857,0.466237942122,0.382194010417,733.8125,4140.59375,91,32,"rgba(0,0,0,0.6)","rgba(0,0,0,0.0470588)",10,10,127,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div/a[2],Emoluments,0
145,142,a,0,1,1,0.142857142857,0.469453376206,0.433756510417,832.8125,4140.59375,69.75,32,"rgba(0,0,0,0.6)","rgba(0,0,0,0.0470588)",8,8,123,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div/a[3],Branding,0
146,142,a,0,1,1,0.142857142857,0.472668810289,0.474251302083,910.5625,4140.59375,73,32,"rgba(0,0,0,0.6)","rgba(0,0,0,0.0470588)",8,8,123,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div/a[4],Business,0
147,142,a,0,1,1,0.142857142857,0.475884244373,0.516438802083,991.5625,4140.59375,153,32,"rgba(0,0,0,0.6)","rgba(0,0,0,0.0470588)",20,22,151,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[2]/div/div/div/a[5],Social Media Marketing,0
148,136,div,9,1,1,0.142857142857,0.479099678457,0.307291666667,590,4190.59375,740,53,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1,1,6558,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3],2,0
149,148,div,8,1,1,0.142857142857,0.48231511254,0.307291666667,590,4190.59375,740,53,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1,1,6514,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div,2,0
150,149,div,7,1,1,0.142857142857,0.485530546624,0.317708333333,610,4194.59375,83,45,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1,1,3184,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1],2,0
151,150,div,6,1,1,0.142857142857,0.488745980707,0.317708333333,610,4194.59375,41,44,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1,1,2105,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1],2,0
152,151,div,5,1,1,0.142857142857,0.491961414791,0.317708333333,610,4194.59375,41,44,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",1,1,2070,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div,2,0
153,152,button,4,1,1,0.142857142857,0.495176848875,0.317708333333,610,4194.59375,29,44,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,1773,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1],,0
154,153,span,3,1,1,0.142857142857,0.498392282958,0.317708333333,610,4195.59375,29,42,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,710,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[1],,0
155,154,span,2,1,1,0.142857142857,0.501607717042,0.317708333333,610,4203.59375,29,29,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,669,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[1]/span,,0
156,155,svg,1,1,1,0.142857142857,0.504823151125,0.317708333333,610,4203.59375,29,29,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,611,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[1]/span/svg,,0
157,156,path,0,1,1,0.142857142857,0.508038585209,0.319270833333,613,4207.59375,23,20.9985351562,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,537,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[1]/span/svg/path,,0
158,153,span,3,1,1,0.142857142857,0.511254019293,0.0,0,0,0,0,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,461,0,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[2],,0
159,158,span,2,1,1,0.142857142857,0.514469453376,0.0,0,0,0,0,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,421,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[2]/span,,0
160,159,svg,1,1,1,0.142857142857,0.51768488746,0.0,0,0,0,0,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,357,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[2]/span/svg,,0
161,160,path,0,1,1,0.142857142857,0.520900321543,0.0,0,0,0,0,"rgb(0,171,107)","rgba(0,0,0,0)",0,0,283,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[1]/span[2]/span/svg/path,,0
162,152,button,0,1,1,0.142857142857,0.524115755627,0.334895833333,643,4198.59375,8,37,"rgba(0,0,0,0.439216)","rgba(0,0,0,0)",1,1,141,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[1]/div/button[2],2,0
163,150,div,4,1,1,0.142857142857,0.527331189711,0.345833333333,664,4195.59375,29,44,"rgba(0,0,0,0.8)","rgba(0,0,0,0)",0,0,1016,1,/html/body/div[1]/div[2]/div/main/article/footer/div[1]/div[3]/div/div[1]/div[2],,0
